MW,number of occurrences
18.015,1
19.023,1
44.009,1
170.05700000000002,1
200.083,1
230.10899999999995,3
258.119,1
260.135,3
276.13399999999996,1
290.161,1
664.4380000000004,1
665.4460000000005,1
744.4170000000006,1
745.4250000000006,1
