MW,number of occurrences
18.015,1
30.026,1
44.053,1
46.069,1
60.05200000000001,1
74.079,1
76.095,1
88.106,1
90.078,1
90.122,1
104.10499999999999,3
118.13199999999999,2
120.104,1
132.159,2
134.131,2
148.158,3
162.18499999999997,2
176.212,1
