1_2_R0_3,3.066129504431913
2_2_R0_4,0.9441321313175992
2_2_A0_R2_5_6,27.46701521217871
1_3_R0_7,-2.057246445148332
1_4_R0_8,-7.214493643139393
1_6_R0_9,-0.11191539645386328
2_3_R0_8,-9.336491016253706
3_2_R0_10,-6.66274424895424
2_4_R0_11,-8.065125867817247
4_2_R0_12,-2.7791213773596253
2_6_R0_13,-1.8866385467880562
6_2_R0_14,9.23128306451202
3_3_R0_15,-12.004860368632684
3_4_R0_16,-11.30033327335061
4_3_R0_17,-9.029865028290729
3_6_R0_18,-7.708727878437351
6_3_R0_19,2.4208024543464752
4_4_R0_20,-16.638910862315903
4_6_R0_21,-9.367998684431072
6_4_R0_22,3.672936553726089
6_6_R0_23,5.891254530096845
2_3_A0_R2_5_9,24.288970311292932
3_2_A0_R2_24_6,21.913182794237237
2_4_A0_R2_5_13,24.63624453407305
4_2_A0_R2_25_6,19.662266921118498
3_3_A0_R2_24_9,18.735137893351464
3_4_A0_R2_24_13,19.082412116131582
4_3_A0_R2_25_9,16.48422202023272
4_4_A0_R2_25_13,16.83149624301284
3_R3_1_2,-3.066129504431913
4_R3_2_2,-0.9441321313175992
