name,formula,smiles,MW,Energy
A0,H2O,O,18.015,-1.0087079575219181e-12
1,CH2O,C=O,30.026,-0.05416120688635176
2,C2H4O,CC=O,44.053,0.13788728506936998
3,C3H6O2,O=CCCO,74.079,3.149855582614931
4,C4H8O2,CC(O)CC=O,88.106,1.2199067014563392
5,C2H6O,CCO,46.069,1.3368570638178834
6,C2H4O2,CC(=O)O,60.05200000000001,26.405932718498555
7,C4H8O3,O=CC(CO)CO,104.10499999999999,1.0384479305802472
8,C5H10O3,CC(O)C(C=O)CO,118.13199999999999,-6.0487481485694055
9,C3H6O3,O=C(O)CCO,90.078,26.23985611515834
10,C5H10O3,O=CCC(O)CCO,118.13199999999999,-3.3750013812699393
11,C6H12O3,CC(O)C(C=O)C(C)O,132.159,-6.707331881291539
12,C6H12O3,CC(O)CC(O)CC=O,132.159,-1.4213273908339163
13,C4H8O3,CC(O)CC(=O)O,104.10499999999999,24.657181456779867
14,C4H8O3,CC(O)(O)CC=O,104.105,35.77510306807994
15,C6H12O4,O=CC(CO)C(O)CCO,148.158,-5.705149203402821
16,C7H14O4,CC(O)C(C=O)C(O)CCO,162.18499999999997,-6.930570989279341
17,C7H14O4,CC(O)CC(O)C(C=O)CO,162.18499999999997,-4.66010274421946
18,C5H10O4,O=C(O)CC(O)CCO,134.131,21.847060422676137
19,C5H10O4,CC(O)(O)C(C=O)CO,134.131,31.976590755459963
20,C8H16O4,CC(O)CC(O)C(C=O)C(C)O,176.212,-14.199097459403223
21,C6H12O4,CC(O)CC(O)CC(=O)O,148.158,18.25784073552382
22,C6H12O4,CC(O)C(C=O)C(C)(O)O,148.15800000000002,31.298775973680982
23,C4H8O4,CC(O)(O)CC(=O)O,120.104,58.703119967093954
24,C3H8O2,OCCCO,76.095,-1.2050070565780242
25,C4H10O2,CC(O)CCO,90.122,-5.385871810855358
