MW,number of occurrences
18.015,1
19.023,1
88.06199999999998,1
170.05700000000002,1
258.119,4
260.135,1
276.13399999999996,1
340.11400000000003,1
346.181,2
364.1960000000001,2
428.17600000000004,4
446.19100000000014,2
516.2380000000003,3
534.2530000000003,4
552.2680000000003,1
744.4170000000006,1
745.4250000000006,1
914.4740000000008,1
915.4820000000009,1
1002.536000000001,1
1003.544000000001,1
1020.5510000000011,1
1021.5590000000011,1
