name,formula,smiles,MW,Energy
C01172,C6H13O9P,O=P(O)(O)OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,260.135,110.77886241402237
C00006,C21H29N7O17P3+,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,744.4170000000006,368.9711016346668
C01236,C6H11O9P,O=C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O,258.119,109.92038674376488
C00005,C21H30N7O17P3,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,745.4250000000006,426.40494102149154
C00080,H3O+,[OH3+],19.023,-9.875600347479916e-12
C00001,H2O,O,18.015,-1.459984773251115e-11
C00345,C6H13O10P,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,276.13399999999996,111.62138594520249
C04442,C6H11O9P,O=C(O)C(=O)C[C@H](O)[C@H](O)COP(=O)(O)O,258.11899999999997,141.11491979294965
C00118,C3H7O6P,O=C[C@H](O)COP(=O)(O)O,170.05700000000002,165.45732075895864
C00022,C3H4O3,CC(=O)C(=O)O,88.06199999999998,-24.43146577778746
10,C27H40N7O26P4+,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H]([n+]3cccc(C(N)(O)[C@]4(O)C(=O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]4O)c3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1OP(=O)(O)O,1002.536000000001,443.894186477401
11,C27H42N7O27P4+,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H]([n+]3cccc(C(N)(O)[C@](O)(C(=O)O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1OP(=O)(O)O,1020.5510000000011,445.9006898059374
12,C24H36N7O23P4+,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H]([n+]3cccc(C(N)(O)[C@](O)(C=O)COP(=O)(O)O)c3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1OP(=O)(O)O,914.4740000000008,516.859902440923
13,C12H22O18P2,O=C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@]1(O)C1(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O,516.2380000000003,165.646024435435
14,C27H41N7O26P4,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](N3C=CCC(C(N)(O)[C@]4(O)C(=O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]4O)=C3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1OP(=O)(O)O,1003.544000000001,489.5776667479894
15,C12H24O19P2,O=C(O)[C@](O)([C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)C1(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O,534.2530000000003,197.6045938101136
16,C12H24O19P2,O=C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@]1(O)C(O)(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,534.2530000000003,186.813498914449
17,C12H22O18P2,O=C(C[C@H](O)[C@H](O)COP(=O)(O)O)C(O)(O)[C@]1(O)C(=O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,516.2380000000002,243.64621514119696
18,C12H22O18P2,O=C(O)C(O)(C[C@H](O)[C@H](O)COP(=O)(O)O)[C@]1(O)C(=O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,516.2380000000002,237.09808779795742
19,C9H18O15P2,O=C[C@](O)(COP(=O)(O)O)C1(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O,428.17600000000004,243.43391616016282
20,C9H18O15P2,O=C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@]1(O)C(O)[C@H](O)COP(=O)(O)O,428.17600000000016,253.12272742263895
21,C9H15O12P,CC(O)(C(=O)O)[C@]1(O)C(=O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,346.181,83.35239720949771
22,C9H15O12P,CC(=O)C(O)(O)[C@]1(O)C(=O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,346.1809999999999,72.14527075878932
23,C27H43N7O27P4,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](N3C=CCC(C(N)(O)[C@](O)(C(=O)O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)=C3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1OP(=O)(O)O,1021.5590000000011,503.7563233232625
24,C24H37N7O23P4,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](N3C=CCC(C(N)(O)[C@](O)(C=O)COP(=O)(O)O)=C3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1OP(=O)(O)O,915.4820000000009,560.6069686516903
25,C12H26O20P2,O=C(O)[C@](O)([C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)C(O)(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,552.2680000000003,196.44096902783255
26,C12H24O19P2,O=C(C[C@H](O)[C@H](O)COP(=O)(O)O)C(O)(O)[C@](O)(C(=O)O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,534.2530000000003,255.1753144067775
27,C12H24O19P2,O=C(O)C(O)(C[C@H](O)[C@H](O)COP(=O)(O)O)[C@](O)(C(=O)O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,534.2530000000003,245.45806729824164
28,C9H20O16P2,O=C[C@](O)(COP(=O)(O)O)C(O)(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,446.19100000000014,254.75561465403266
29,C9H20O16P2,O=C(O)[C@@](O)(C(O)[C@H](O)COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,446.1910000000001,250.4975825068389
